"user_id","transaction_count","total_amount_usd","avg_amount_usd","pct_crypto","distinct_merchant_categories","cross_country_txns","first_transaction_date","last_transaction_date","days_active","failed_sign_in_attempts"
"dc283b17-bbe1-4ae9-a11c-0029d5ae71d9","1029","80496074.47","78227.48","0.00","24","909","2018-01-25 17:37:42.538","2018-07-19 23:21:20.874",175,0
"6eb51e3f-6e8b-45ee-bf01-82495df9c930","590","3525306.97","6120.32","0.00","20","468","2015-12-16 18:07:28.715","2018-04-22 17:18:55.926",858,0
"4ee8690a-ebf7-435b-9fe2-103e8f83edc6","508","3751831.76","7385.50","0.00","21","369","2017-11-10 23:44:53.037","2018-07-12 07:46:35.625",243,0
"25c2ecb3-5ec7-4fa6-8fc3-bbcf3a691217","460","4778366.33","10410.38","0.00","20","361","2016-11-02 02:15:54.38","2018-04-11 00:42:16.481",525,0
"b8271606-4633-4d8f-8729-a2c8ebb8a49f","340","5341556.61","16640.36","0.00","8","288","2017-12-31 03:58:01.71","2018-07-30 15:59:31.982",212,0
"e43ca889-da03-4192-badd-b4f2ca8fb9a1","274","2598147.68","9482.29","0.00","17","192","2017-05-29 08:47:18.039","2018-03-09 18:29:12.063",284,0
"5c75c857-61f0-400e-ac7b-25451c57e8de","238","3296231.37","13849.71","0.00","9","130","2018-04-12 19:31:52.298","2018-07-13 12:35:14.714",92,0
"cb788833-8628-4e70-9095-9f3970e216a5","226","629579.87","6172.35","0.00","20","183","2018-04-06 12:18:27.607","2018-07-17 09:18:06.381",102,0
"eea32e33-107a-49a5-91c1-3d10b118a154","225","1974415.87","8775.18","0.00","9","168","2017-07-10 14:39:05.356","2018-02-09 23:01:33.648",214,0
"2ba04c04-64a4-48f9-8f50-896f573a0845","200","8061022.97","40305.11","0.00","11","165","2018-03-21 21:05:22.936","2018-06-12 10:51:34.855",83,0
"aa4d8c5f-7443-492a-8b35-aff13cb7564f","198","3739044.54","18884.06","0.00","14","157","2017-09-20 11:37:58.483","2018-05-08 16:58:12.598",230,0
"3b340c79-cee0-4142-9636-123604859d05","195","2396289.54","12288.66","0.00","3","132","2017-04-05 11:55:34.915","2018-04-03 20:05:50.444",363,0
"e7990eb5-f39c-477c-899c-a3136c56143e","193","1209600.23","6267.36","0.00","16","112","2017-03-02 21:57:40.197","2018-04-20 15:00:20.786",414,0
"eab966ce-5539-4a89-8be5-67b1e359203d","192","1352239.85","7042.92","0.00","1","11","2018-01-20 19:17:02.837","2018-05-07 03:29:02.766",106,0
"3c11dc04-36f1-4412-8b00-82c7efa4cac2","189","5048195.04","26710.03","0.00","14","147","2017-01-20 17:29:24.155","2018-04-19 15:45:32.917",454,0
"3c65dee2-6496-4f8b-8efc-efc73b315129","173","1366670.38","7899.83","0.00","20","154","2017-11-25 22:01:47.552","2018-07-30 05:17:02.329",246,0
"ab9befc4-4126-49f4-9bd5-3845624dd1b3","164","501677.83","3059.01","0.00","1","24","2017-03-21 23:05:05.891","2017-06-06 16:37:38.246",77,0
"23aeb3e7-c41a-4337-87a8-89d06969a6a4","162","6687427.04","41280.41","0.00","7","126","2018-03-07 19:43:04.615","2018-05-14 19:07:18.131",68,0
"9d50677d-f779-4528-bed8-5d41f9dbf12a","161","905525.08","5624.38","0.00","11","148","2017-06-02 19:39:39.532","2017-08-09 17:43:22.838",68,0
"c9f032a6-8383-4a96-aeaa-18aa3f57dcde","158","644343.84","4078.13","0.00","10","134","2018-03-05 20:01:57.543","2018-04-23 18:36:01.5",49,0
"bd62a87e-b98a-464b-b676-753a584c46cc","145","1554892.95","10723.40","0.00","4","69","2017-01-10 18:00:33.923","2018-05-25 22:15:24.052",500,0
"1ac43c83-6c00-41cb-943c-7279a79ff2aa","143","6377015.48","44594.51","0.00","7","131","2018-06-12 06:41:43.258","2018-07-30 08:23:12.773",48,0
"8bf3c156-d094-49bd-86c7-93ad7d4e030f","136","4662385.76","34536.19","0.00","10","95","2018-01-05 17:47:51.052","2018-04-19 13:32:14.087",104,0
"7e14fe6d-3084-492b-a6ac-7989d37ea887","134","5269710.61","39326.20","0.00","9","115","2018-05-30 13:12:55.083","2018-07-18 22:21:05.885",49,0
"e3b7d429-5000-4cb1-9125-925688a5d884","118","1385042.15","11737.65","0.00","7","84","2018-02-15 23:26:55.379","2018-07-06 09:29:01.353",140,0
"5151da7c-4008-43f0-9471-da9bce725db3","113","5272239.08","46656.98","0.00","3","106","2017-10-17 14:45:12.644","2017-12-25 13:07:41.573",69,0
"3bab4a49-81d3-4cd2-bb6c-fc2d8baa4eb9","112","5072397.85","45289.27","0.00","6","81","2018-05-01 14:47:53.714","2018-07-02 14:56:32.422",62,0
"c0b5c82a-a924-4391-b661-614894d89f4a","112","434464.25","3879.15","0.00","9","62","2018-01-30 13:38:29.63","2018-05-14 14:36:29.764",104,0
"4e9eab11-8a7d-4a9b-8a58-72a388b48b19","109","2392884.18","21953.07","0.00","16","85","2017-10-23 03:08:34.137","2018-07-03 11:42:53.746",253,0
"e663f40d-47f5-4a55-b872-2ccc0512e785","105","750447.14","7147.12","0.00","4","90","2018-06-17 14:50:27.012","2018-07-17 14:38:37.66",30,0
"772621e4-7985-472f-88ad-9c2b41f483a6","100","2496833.06","24968.33","0.00","2","12","2017-09-23 19:31:48.751","2018-07-10 12:06:01.807",290,0
"cd124b45-d494-4bb7-ad50-3b94093aa363","100","5473554.27","54735.54","0.00","3","29","2018-02-14 13:46:03.579","2018-05-18 05:16:38.473",93,0
"c51c8f21-2361-4550-beca-ae0dfb411e59","99","259556.90","2621.79","0.00","4","85","2017-08-28 04:42:36.708","2018-02-28 23:05:10.635",185,0
"4032167e-c809-4610-a310-036445285227","98","3231590.80","32975.42","0.00","6","85","2018-03-08 00:31:04.519","2018-07-03 14:25:33.77",118,0
"0bed6203-0ed0-4e40-8f9c-e52ed7dedb6a","96","7112428.89","74087.80","0.00","7","65","2018-03-09 15:18:02.538","2018-07-17 13:41:34.415",130,0
"8660c9f5-48dd-4c92-b072-c358ee27f7e5","92","630859.68","6857.17","0.00","2","77","2017-12-25 22:25:03.884","2018-07-16 20:03:44.995",203,0
"a0a68c2a-9656-462f-9b03-0d0cbd60e107","92","5652916.31","61444.74","0.00","7","79","2018-05-17 07:12:33.832","2018-06-14 21:09:34.112",29,0
"20a39f14-80ba-4feb-a4ef-fb66a51f7d75","89","5312505.93","59691.08","0.00","4","23","2017-12-26 10:47:59.569","2018-04-25 20:57:19.308",120,0
"562fc22b-7766-4f6c-b69f-15d57565a00a","87","3255126.04","37415.24","0.00","6","49","2017-12-02 16:28:20.049","2018-06-27 18:41:05.359",207,0
"96425222-107d-47c7-8b1b-8dc3fc624a2a","87","858015.45","9862.25","0.00","7","54","2017-10-03 13:31:49.527","2018-07-06 18:28:10.22",276,0
"4f01cd71-a8dc-4cb8-9526-e7f81818c87a","86","878737.04","10217.87","0.00","9","71","2017-05-13 00:07:47.426","2018-05-18 09:05:54.278",370,0
"bdab8e60-3375-40b7-98ae-d47ef2ef6bf7","85","7764694.81","99547.37","0.00","11","57","2017-06-07 14:36:02.547","2018-03-04 22:21:13.765",270,0
"943a8456-f3c0-415f-a7c1-211ba5c439ae","85","2250030.74","26470.95","0.00","4","39","2017-03-18 00:59:27.945","2017-06-22 12:26:25.494",96,0
"1206fe8d-e1fb-4965-acf5-07b9e3b84462","81","846788.40","10454.18","0.00","3","62","2017-10-19 16:46:50.628","2017-11-08 14:33:07.137",20,0
"354538c6-f0c0-474a-b5de-34aaedcae63a","79","1895536.96","23994.14","0.00","14","65","2017-05-10 07:58:24.14","2017-08-23 13:55:51.702",105,0
"272e9927-545a-49e0-a7b7-1c7addf2b9e8","79","2857549.21","36171.51","0.00","6","63","2018-05-15 12:24:42.375","2018-06-26 17:19:09.978",42,0
"d634a057-e42b-4f12-b22e-42dc596dac0b","78","1181754.17","15150.69","0.00","6","60","2018-06-16 21:21:49.467","2018-07-30 22:39:06.204",44,0
"96fc0ed1-a485-4c8c-8278-13bf27b97647","78","2747573.31","35225.30","0.00","7","40","2018-03-29 10:53:25.021","2018-06-08 01:26:32.655",71,0
"61d44c17-626c-4e98-b512-c5428f7c05cb","75","224915.55","2998.87","0.00","7","48","2018-04-19 20:09:00.419","2018-05-28 14:59:03.922",39,0
"8139996a-2466-4813-9998-2001163eac16","74","148237.33","2003.21","0.00","8","63","2018-03-01 18:44:35.608","2018-06-11 10:58:12.651",102,0
"9fa08d28-fdf0-49d5-a92c-7fb78512a8ab","72","6795583.56","94383.10","0.00","8","50","2017-09-05 18:34:48.851","2017-10-30 21:22:54.838",55,0
"335a69d2-a556-4a99-9fe0-f6f8d243f7c7","72","431101.13","5987.52","0.00","4","53","2017-09-28 09:45:53.247","2017-10-04 17:22:19.968",6,0
"024320ea-0cfa-4ce9-8d44-ad9fbfaf29e4","69","762489.96","11050.58","0.00","4","46","2018-04-05 11:35:16.494","2018-05-21 05:16:11.479",46,0
"69ca042c-c73f-4860-86cb-b63bf60243c9","68","3223206.75","47400.10","0.00","8","41","2017-07-11 22:14:37","2018-02-11 23:01:26.565",215,0
